id,title,content,thank_count,customer_id,rating,created_at,customer_name,purchased_at
,Cực kì hài lòng,"Sản phẩm có chất lượng đúng như mô tả, đóng gói chắc chắn, rất đáng tiền, giao hàng nhanh.
P/s: ko có thời gian chụp hình nên mình lấy đỡ hình trên mạng up",0,7178520,5,1679481697,Japanit Matcha,1675051201
,Rất không hài lòng,Cực kỳ tệ!!! Sản phẩm khui ra lau được đúng 3 ngày hỏng. Ko nên phí tiền với sản phẩm tệ như vậy!!!,2,5613684,1,1669262406,Vũ Mạnh Thế,1668907313
,Cực kì hài lòng,"Sản phẩm đóng gói nguyên thùng chính hãng cẩn thận, chắc chắn. Hàng dùng ổn định. Mẫu mã đẹp",0,14561085,5,1671544218,Nguyễn Tú,1668125676
,Hài lòng,"Chào SunHouse 
Mình có đặt Bộ lau nhà xoay 360 độ này. Kết quả là không sử dụng được. Cây lau nhà KHÔNG thể vắt được sạch nước và rất dễ rơi ra... 

hoàn toàn thất vọng về sản phẩm này. Đề nghị SunHouse đổi lại cho mình bộ này. 

trân trọng.",0,27536664,4,1663733654,Thu Thoi,1663405718
,Rất không hài lòng,"sản phẩm chất lượng QUÁ TỆ . Chỉ mới mua về thử đun nước sôi bằng bếp điện từ thôi mà đáy nồi đã bong tróc ra như thế này , ảnh hưởng tới sức khỏe người tiêu dùng . Yêu cầu sunhouse thu hồi sản phẩm và xử lý",0,6275145,1,1670139392,Vũ Châu Anh Tuấn ,1669815689
,Bình thường,"Giao hàng tốt,sản phẩm đẹp, nhưng chưa biết bền hay không",0,10625869,3,1681815138,Lê Phong,1681801446
,Cực kì hài lòng,Nồi đẹp chắc và rất sang trọng,0,8097414,5,1681800444,Nguyễn Thị Thanh Thủy,1680057956
,Rất không hài lòng,"1. Giao quá chậm, đặt từ tháng 8 đến tháng 11 mới giao hàng.
2. Cả 3 cái nồi đều dán tem bên hông và mặt dưới, cực kì khó bóc ra, quá bất tiện.",0,7295375,1,1636294755,Zalo Nguyễn Triệu Luật,1629263223
,Cực kì hài lòng,"Nồi đẹp, để xài thử 1 thời gian rồi quay lại nhận xét sau",1,15788003,5,1667305039,Nguyễn Văn Bảy,1666866730
,Cực kì hài lòng,"Tốt, dùng được cho mọi loại bếp. Bộ nồi ok, có 3 kích thước, nồi dày dặn, nấu tốt.",0,754372,5,1666826314,Ngọc Mai,1665822363
,Chưa hài lòng về cách đóng gói,"Yên tâm với hàng chính hãng tuy nhiên cách đóng gói khá xuề xoà, mua hàng mới mà hộp đựng nhăn nheo, không có xốp hay tấm lót chống trầy xước, chỉ có một tấm nilon bọc vội ở ngoài hộp đựng xoog nồi có sẵn của hãng.
Đáy nồi khá mỏng, không như mong đợi.",3,767898,4,1587554463,Dong Quyet,1587488588
,Cực kì hài lòng,,0,1045812,5,1691187360, Điệp,1689915675
,Hài lòng,Ok trong tầm giá rồi.,0,68895,4,1667628397,Nguyễn Quốc Việt,1667557495
,Cực kì hài lòng,,0,6006481,5,1688267628,Huỳnh Anh,1688048584
,Rất không hài lòng,"sản phẩm chất lượng QUÁ TỆ . Chỉ mới mua về thử đun nước sôi bằng bếp điện từ thôi mà đáy nồi đã bong tróc ra như thế này , ảnh hưởng tới sức khỏe người tiêu dùng . Yêu cầu sunhouse thu hồi sản phẩm và xử lý",0,6275145,1,1670139392,Vũ Châu Anh Tuấn ,1669815689
,Bình thường,"Giao hàng tốt,sản phẩm đẹp, nhưng chưa biết bền hay không",0,10625869,3,1681815138,Lê Phong,1681801446
,Cực kì hài lòng,Nồi đẹp chắc và rất sang trọng,0,8097414,5,1681800444,Nguyễn Thị Thanh Thủy,1680057956
,Rất không hài lòng,"1. Giao quá chậm, đặt từ tháng 8 đến tháng 11 mới giao hàng.
2. Cả 3 cái nồi đều dán tem bên hông và mặt dưới, cực kì khó bóc ra, quá bất tiện.",0,7295375,1,1636294755,Zalo Nguyễn Triệu Luật,1629263223
,Cực kì hài lòng,"Nồi đẹp, để xài thử 1 thời gian rồi quay lại nhận xét sau",1,15788003,5,1667305039,Nguyễn Văn Bảy,1666866730
,Cực kì hài lòng,"Tốt, dùng được cho mọi loại bếp. Bộ nồi ok, có 3 kích thước, nồi dày dặn, nấu tốt.",0,754372,5,1666826314,Ngọc Mai,1665822363
,Chưa hài lòng về cách đóng gói,"Yên tâm với hàng chính hãng tuy nhiên cách đóng gói khá xuề xoà, mua hàng mới mà hộp đựng nhăn nheo, không có xốp hay tấm lót chống trầy xước, chỉ có một tấm nilon bọc vội ở ngoài hộp đựng xoog nồi có sẵn của hãng.
Đáy nồi khá mỏng, không như mong đợi.",3,767898,4,1587554463,Dong Quyet,1587488588
,Cực kì hài lòng,,0,1045812,5,1691187360, Điệp,1689915675
,Hài lòng,Ok trong tầm giá rồi.,0,68895,4,1667628397,Nguyễn Quốc Việt,1667557495
,Cực kì hài lòng,,0,6006481,5,1688267628,Huỳnh Anh,1688048584
,Cực kì hài lòng,"Cây lau nhà chắc chắn dễ sử dụng vắt nước khô và tiện. Trước mình có mua 1 bộ rùi dùng rất thích nên lần này mình mua tặng mẹ mình 1 bộ, lần này mình mua được shop tặng thêm mã giảm giá 20k cảm ơn shop nhìu nhìu cần mua đồ mình sẽ ủng hộ shop tiếp. Shop uy tín chu đáo nhiệt tình sẽ ủng hộ shop dài dài",3,12207828,5,1669688194,Lê Hoàng Yến,1669194190
,Cực kì hài lòng,"Hàng giống hình, giao hàng nhanh. Cây lau nhà vắt khô, lau nhanh vì bàn lau lớn. Đặc biệt là nhà sạch và khô nhanh nữa. Mình rất hài lòng, mn nên mua nhé",0,27587557,5,1688516457,Hải Đăng,1688439341
,Không hài lòng,"Bán hàng không kiểm tra hàng...(hình), nội dung đăng k trùng khớp, mình đặt 3 tấm sơ cua 4212, bài đăng nói sản phẩm bán kèm, mà kết quả không như mong đợi(bị thiếu hụt).",0,12587510,2,1670038991,Lưu Đức Tài,1669771243
,Không hài lòng,"Không còn hàng, shop phải huỷ đơn. Shop tự ý đổi hàng khác không hợp lý.",1,28888319,2,1680190146,Trương Tú Ngọc,1679764597
,Cực kì hài lòng,Cây lau nhà đẹp. Chắc chắn. Vắt khô. Tiện lợi. Được tặng thêm miếng bông,2,21612531,5,1657618616,Diễm My,1657590393
